,time,diff
177,2019-01-08 09:29:36,0.019758174
178,2019-01-08 09:59:28,0.007397149
179,2019-01-08 10:29:20,-0.058720894
180,2019-01-08 10:59:12,0.08756621
181,2019-01-08 11:29:04,-0.015680509
182,2019-01-08 12:01:04,-0.081322014
183,2019-01-08 12:30:56,0.052837383
184,2019-01-08 13:00:48,-0.044867318
185,2019-01-08 13:30:40,0.076699466
186,2019-01-08 14:00:32,-0.028102508
187,2019-01-08 14:30:24,-0.03740601
188,2019-01-08 15:00:16,0.0103617115
189,2019-01-08 15:30:08,0.020513555
190,2019-01-08 16:00:00,-0.017949423
191,2019-01-08 16:29:52,-0.01026994
192,2019-01-08 16:59:44,0.00854073
193,2019-01-08 17:29:36,-0.004784274
194,2019-01-08 17:59:28,-0.0039401175
195,2019-01-08 18:29:20,-0.0015447974
196,2019-01-08 18:59:12,0.0061807395
197,2019-01-08 19:29:04,-0.015533065
198,2019-01-08 19:58:56,-0.0023810505
199,2019-01-08 20:30:56,0.009529233
200,2019-01-08 21:00:48,0.007155001
201,2019-01-08 21:30:40,-0.014015347
202,2019-01-08 22:00:32,-0.0061888495
203,2019-01-08 22:30:24,0.009429793
204,2019-01-08 23:00:16,-0.0024637382
205,2019-01-08 23:30:08,-0.013139586
206,2019-01-09 00:00:00,0.0028797586
207,2019-01-09 00:29:52,0.008275072
208,2019-01-09 00:59:44,0.0009624362
209,2019-01-09 01:29:36,-0.008966684
210,2019-01-09 01:59:28,-0.0052729845
211,2019-01-09 02:29:20,-0.015690565
212,2019-01-09 02:59:12,-0.02013135
213,2019-01-09 03:29:04,0.005538821
214,2019-01-09 04:01:04,0.018121123
215,2019-01-09 04:30:56,-0.020800471
216,2019-01-09 05:00:48,-0.027096987
217,2019-01-09 22:00:32,-0.12620962
218,2019-01-09 22:30:24,-0.016375884
219,2019-01-09 23:00:16,0.0134200305
220,2019-01-09 23:30:08,0.0058238804
221,2019-01-10 00:00:00,-0.02059113
222,2019-01-10 00:29:52,-0.0062681534
223,2019-01-10 00:59:44,0.0126007
224,2019-01-10 01:29:36,-0.008829355
225,2019-01-10 01:59:28,-0.009563565
226,2019-01-10 02:29:20,0.006364087
227,2019-01-10 02:59:12,0.003053238
228,2019-01-10 03:29:04,-0.0037333071
229,2019-01-10 03:58:56,-0.0035767753
230,2019-01-10 04:30:56,0.0052118697
231,2019-01-10 05:00:48,-0.0024006665
232,2019-01-10 05:30:40,-0.0036295753
233,2019-01-10 06:00:32,0.010243356
234,2019-01-10 06:30:24,-0.0037716925
235,2019-01-10 07:00:16,1.7642975e-05
236,2019-01-10 07:30:08,0.0028949082
237,2019-01-10 08:00:00,0.002467066
238,2019-01-10 08:29:52,-0.014172524
239,2019-01-10 08:59:44,0.012354642
240,2019-01-10 09:29:36,-0.011577189
241,2019-01-10 09:59:28,0.03806133
242,2019-01-10 10:29:20,-0.0014587343
243,2019-01-10 10:59:12,-0.020787388
244,2019-01-10 11:29:04,0.009615342
245,2019-01-10 12:01:04,-0.0055107474
246,2019-01-10 12:30:56,0.017900905
247,2019-01-10 13:00:48,-0.020437837
248,2019-01-10 13:30:40,-0.022308296
249,2019-01-10 14:00:32,0.02776461
250,2019-01-10 14:30:24,-0.007411447
251,2019-01-10 15:00:16,-0.0007450176
252,2019-01-10 15:30:08,-0.0011763413
253,2019-01-10 16:00:00,-0.0034852389
254,2019-01-10 16:29:52,-0.0016241287
255,2019-01-10 16:59:44,0.0027659598
256,2019-01-10 17:29:36,0.0009904908
257,2019-01-10 17:59:28,-0.0053414325
258,2019-01-10 18:29:20,-0.0049730805
259,2019-01-10 18:59:12,0.028039774
260,2019-01-10 19:29:04,-0.028216038
261,2019-01-10 19:58:56,0.009947236
262,2019-01-10 20:30:56,-0.014278041
263,2019-01-10 21:00:48,0.013901583
264,2019-01-10 21:30:40,-0.007928644
265,2019-01-10 22:00:32,0.0011489987
266,2019-01-10 22:30:24,-0.0040693367
267,2019-01-10 23:00:16,-0.0043475926
268,2019-01-10 23:30:08,0.005538915
269,2019-01-11 00:00:00,0.00037623197
270,2019-01-11 00:29:52,-0.008295195
271,2019-01-11 00:59:44,-9.6314485e-05
272,2019-01-11 01:29:36,0.0039452645
273,2019-01-11 01:59:28,0.000776983
274,2019-01-11 02:29:20,-0.00886683
275,2019-01-11 02:59:12,-0.0009226203
276,2019-01-11 03:29:04,-0.0002557205
277,2019-01-11 04:01:04,-0.0012993945
278,2019-01-11 04:30:56,0.00313132
279,2019-01-11 05:00:48,0.0058157244
280,2019-01-11 05:30:40,-0.0014378992
281,2019-01-11 06:00:32,-0.018143186
282,2019-01-11 06:30:24,0.0029235217
283,2019-01-11 07:00:16,0.03331252
284,2019-01-11 07:30:08,-0.037964165
285,2019-01-11 08:00:00,-0.012617677
286,2019-01-11 08:29:52,0.034944337
287,2019-01-11 08:59:44,0.022162348
288,2019-01-11 09:29:36,-0.041856904
289,2019-01-11 09:59:28,0.007764002
290,2019-01-11 10:29:20,-0.0071255895
291,2019-01-11 10:59:12,0.012877756
292,2019-01-11 11:29:04,-0.012355019
293,2019-01-11 11:58:56,0.020096915
294,2019-01-11 12:30:56,-0.023877706
295,2019-01-11 13:00:48,0.0049301586
296,2019-01-11 13:30:40,0.023585439
297,2019-01-11 14:00:32,-0.025800996
298,2019-01-11 14:30:24,-0.0071785185
299,2019-01-11 15:00:16,0.02619352
300,2019-01-11 15:30:08,-0.024727961
301,2019-01-11 16:00:00,0.009898782
302,2019-01-11 16:29:52,0.0062129167
303,2019-01-11 16:59:44,-0.010182553
304,2019-01-11 17:29:36,-0.011606488
305,2019-01-11 17:59:28,0.019117257
306,2019-01-11 18:29:20,-0.010719723
307,2019-01-11 18:59:12,0.0006849964
308,2019-01-11 19:29:04,-0.010707285
309,2019-01-11 20:01:04,0.012062516
310,2019-01-11 20:30:56,-0.00407209
311,2019-01-11 21:00:48,-0.002582186
312,2019-01-11 21:30:40,-0.0011083351
313,2019-01-11 22:00:32,-0.0057756156
314,2019-01-11 22:30:24,0.006044141
315,2019-01-11 23:00:16,-0.00043460302
316,2019-01-11 23:30:08,-0.0035009554
317,2019-01-12 00:00:00,-0.0048734546
318,2019-01-12 00:29:52,0.011161447
319,2019-01-12 00:59:44,-0.0013759732
320,2019-01-12 01:29:36,-0.005826553
321,2019-01-12 01:59:28,0.007918656
322,2019-01-12 02:29:20,-0.020762464
323,2019-01-12 02:59:12,0.029514948
324,2019-01-12 03:29:04,-0.017519632
325,2019-01-12 03:58:56,-0.00980113
326,2019-01-12 04:30:56,0.020624062
327,2019-01-12 05:00:48,-0.02476128
328,2019-01-12 05:30:40,0.00885876
329,2019-01-12 06:00:32,-0.0020605803
330,2019-01-12 06:30:24,-0.017575014
331,2019-01-12 07:00:16,0.0141991135
332,2019-01-12 07:30:08,0.00891087
333,2019-01-12 08:00:00,-0.016595483
334,2019-01-12 08:29:52,0.011634958
335,2019-01-12 08:59:44,-0.00700475
336,2019-01-12 09:29:36,0.0029130937
337,2019-01-12 09:59:28,0.0012925863
338,2019-01-12 10:29:20,-0.005995035
339,2019-01-12 10:59:12,0.016795397
340,2019-01-12 11:29:04,0.012469511
341,2019-01-12 12:01:04,-0.021924118
342,2019-01-12 12:30:56,-0.0020848513
343,2019-01-12 13:00:48,0.045853972
344,2019-01-12 13:30:40,-0.014737695
345,2019-01-12 14:00:32,-0.008524567
346,2019-01-12 14:30:24,0.005310744
347,2019-01-12 15:00:16,-0.0037299395
348,2019-01-12 15:30:08,0.006647676
349,2019-01-12 16:00:00,0.002334699
350,2019-01-12 16:29:52,-0.00085765123
351,2019-01-12 16:59:44,-0.0039577633
352,2019-01-12 17:29:36,-0.0024491102
353,2019-01-12 17:59:28,0.001675427
354,2019-01-12 18:29:20,0.0010649264
355,2019-01-12 18:59:12,0.0052055717
356,2019-01-12 19:29:04,0.00601241
357,2019-01-12 19:58:56,-0.0044927597
358,2019-01-12 20:30:56,0.0024110079
359,2019-01-12 21:00:48,0.0017657876
360,2019-01-12 21:30:40,-0.02000162
361,2019-01-12 22:00:32,0.0045864284
362,2019-01-12 22:30:24,0.01581195
363,2019-01-12 23:00:16,-0.004896641
364,2019-01-12 23:30:08,-0.010878652
365,2019-01-13 00:00:00,-0.027234584
366,2019-01-13 06:00:32,-0.077187
367,2019-01-13 06:30:24,-0.023828208
368,2019-01-13 07:00:16,0.044501245
369,2019-01-13 07:30:08,-0.008895367
370,2019-01-13 08:00:00,-0.007354796
371,2019-01-13 08:29:52,-0.0007325113
372,2019-01-13 08:59:44,0.0014569461
373,2019-01-13 09:29:36,-0.00076675415
374,2019-01-13 09:59:28,0.0043652058
375,2019-01-13 10:29:20,-0.0040610433
376,2019-01-13 10:59:12,-0.008754805
377,2019-01-13 11:29:04,0.012120113
378,2019-01-13 11:58:56,-0.02845636
379,2019-01-13 12:30:56,-0.0012769401
380,2019-01-13 13:00:48,0.030154347
381,2019-01-13 13:30:40,-0.04580152
382,2019-01-13 14:00:32,0.030283242
383,2019-01-13 14:30:24,0.011519641
384,2019-01-13 15:00:16,-0.031558245
385,2019-01-13 15:30:08,0.013973713
386,2019-01-13 16:00:00,0.009449661
387,2019-01-13 16:29:52,0.0074270964
388,2019-01-13 16:59:44,-0.013911843
389,2019-01-13 17:29:36,0.0017044544
390,2019-01-13 17:59:28,0.00333786
391,2019-01-13 18:29:20,0.008885503
392,2019-01-13 18:59:12,-0.010933578
393,2019-01-13 19:29:04,0.00063598156
394,2019-01-13 20:01:04,0.01320231
395,2019-01-13 20:30:56,-0.0101953745
396,2019-01-13 21:00:48,-0.008549929
397,2019-01-13 21:30:40,0.0057398677
398,2019-01-13 22:00:32,-0.0045213103
399,2019-01-13 22:30:24,-0.0014275908
400,2019-01-13 23:00:16,0.0035110116
401,2019-01-13 23:30:08,-0.0070203543
402,2019-01-14 00:00:00,0.006044328
403,2019-01-14 00:29:52,0.004306555
404,2019-01-14 00:59:44,-0.013657749
405,2019-01-14 01:29:36,0.005381286
406,2019-01-14 01:59:28,-0.028407216
407,2019-01-14 02:29:20,-0.004118979
408,2019-01-14 02:59:12,0.028187752
409,2019-01-14 03:29:04,-0.014307797
410,2019-01-14 03:58:56,-0.009142876
411,2019-01-14 04:30:56,0.009313107
412,2019-01-14 05:00:48,-0.005837798
413,2019-01-14 05:30:40,0.00786221
414,2019-01-14 06:00:32,-0.017873645
415,2019-01-14 06:30:24,0.016211152
416,2019-01-14 07:00:16,-0.0075421333
417,2019-01-14 07:30:08,-0.0019359589
418,2019-01-14 08:00:00,0.014453292
419,2019-01-14 08:29:52,-0.031662703
420,2019-01-14 08:59:44,0.020811796
421,2019-01-14 09:29:36,-0.028493285
422,2019-01-14 09:59:28,0.014973044
423,2019-01-14 10:29:20,-0.012818456
424,2019-01-14 10:59:12,0.008795381
425,2019-01-14 11:29:04,-0.008515656
426,2019-01-14 12:01:04,-0.005647242
427,2019-01-14 12:30:56,0.0067148805
428,2019-01-14 13:00:48,0.0013356209
429,2019-01-14 13:30:40,-0.0174129
430,2019-01-14 14:00:32,0.022867918
431,2019-01-14 14:30:24,0.012741506
432,2019-01-14 15:00:16,-0.024444103
433,2019-01-14 15:30:08,0.014792919
434,2019-01-14 16:00:00,-0.0092737675
435,2019-01-14 16:29:52,-0.017298162
436,2019-01-14 16:59:44,0.02354467
437,2019-01-14 17:29:36,-0.003993392
438,2019-01-14 17:59:28,-0.00990504
439,2019-01-14 18:29:20,0.0053403378
440,2019-01-14 18:59:12,-0.00080788136
441,2019-01-14 19:29:04,0.006181121
442,2019-01-14 19:58:56,-0.015262365
443,2019-01-14 20:30:56,-0.0021331906
444,2019-01-14 21:00:48,0.003420651
445,2019-01-14 21:30:40,0.002616465
446,2019-01-14 22:00:32,-0.009313166
447,2019-01-14 22:30:24,-0.0015149117
448,2019-01-14 23:00:16,0.007951438
449,2019-01-14 23:30:08,-0.0060807467
